nominal_head_form,nominal_head_upos,nominal_head_deprel,head_is_plural,modifier_is_plural,nominal_head_ī,nominal_head_consonant_ending,modifier_consonant_ending,modifier_form,modifier_upos,modifier_deprel,distance,position,np_depth,num_dependents_head,num_dependents_modifier,has_anchor_dependent,modifier_is_propn,ezafe_label,relative_position_in_sent,head_feats,modifier_feats,nmod_count,amod_count,ezafe_like_lemma_between
hāwandmehīh,NOUN,conj,0,0,0,1,1,abarīg,ADJ,nmod,0,2,2,3,0,0,0,0,0.0,False,False,2,0,0
hāwandmehīh,NOUN,conj,0,1,0,1,1,kehān,NOUN,nmod,1,1,2,3,1,0,0,0,0.0,False,False,2,0,0
wistāxīh,NOUN,nsubj,0,1,0,1,1,ašmāh,PRON,nmod,2,2,2,3,0,1,0,0,0.5,False,False,2,0,0
wistāxīh,NOUN,nsubj,0,0,0,1,1,hučihrpursišnīh,NOUN,nmod,0,2,2,3,1,1,0,0,0.5,False,True,2,0,0
kām,NOUN,nsubj,0,0,0,1,1,gugānīgpassoxīh,NOUN,nmod,2,2,3,1,2,0,0,0,1.0,False,False,1,0,0
kōxšišnīh,NOUN,orphan,0,0,0,1,1,škeft,ADJ,amod,0,2,2,4,1,1,0,1,0.0,True,False,1,1,0
kōxšišnīh,NOUN,orphan,0,0,0,1,1,druz,NOUN,nmod,0,1,2,4,2,1,0,1,0.0,True,False,1,1,0
awištāb,NOUN,conj,0,0,0,1,1,wizōyišnīgmenišnīh,NOUN,nmod,0,1,3,3,0,0,0,0,0.0,False,True,1,0,0
kār,NOUN,obl,0,0,0,1,1,awizīrišnīg,ADJ,amod,1,2,2,3,2,1,0,1,0.5,True,False,0,1,0
pardazišnīh,NOUN,nsubj,0,0,0,1,1,kam,ADJ,amod,0,2,1,1,0,0,0,0,1.0,True,False,0,1,0
pāyišn,NOUN,obl,0,0,0,1,1,čimpaydāgīh,NOUN,nmod,0,1,3,2,1,0,0,0,0.3333333333333333,False,False,1,0,0
čimpaydāgīh,NOUN,nmod,0,0,0,1,1,dēn,NOUN,nmod,1,1,2,1,2,0,0,1,0.0,False,False,1,0,0
nimāyišn,NOUN,obl,0,0,0,1,1,dānāgīh,NOUN,nmod,1,1,2,2,2,0,0,1,1.0,True,False,1,0,0
abarxwāyišnīh,NOUN,nmod,0,0,0,1,1,abēbīm,ADJ,amod,0,1,1,1,0,0,0,0,0.0,True,False,0,1,0
māh,NOUN,obl,0,0,0,1,1,tīr,PROPN,nmod,0,1,1,2,0,0,1,0,0.25,False,False,1,0,0
xwāstārīh,NOUN,nsubj,0,0,0,1,1,šāhīgān,NOUN,nmod,1,1,4,2,2,0,0,1,0.5,False,False,2,0,0
xwāstārīh,NOUN,nsubj,0,0,0,1,1,sesālag,ADJ,nmod,3,1,4,2,3,0,0,0,0.5,False,False,2,0,0
bahr,NOUN,conj:nmod,0,0,0,1,1,sālag,ADJ,amod,0,1,2,2,1,0,0,1,0.0,False,False,0,1,0
ādūgīh,NOUN,nsubj,0,0,0,1,1,=m,PRON,nmod,1,2,1,2,0,0,0,0,0.875,False,False,1,0,0
čār,NOUN,obl,0,0,0,1,1,bōxtārīh,NOUN,nmod,1,1,3,3,4,0,0,1,0.1,True,False,1,0,0
bōxtārīh,NOUN,nmod,0,1,0,1,1,hāwištān,NOUN,nmod,2,1,2,4,1,0,0,1,0.0,False,False,1,0,0
nigerīd,NOUN,obl,0,0,0,1,1,pursišn,NOUN,nmod,1,1,2,3,2,0,0,1,0.3,True,True,1,0,0
māh,NOUN,obl,0,0,0,1,1,šahrewar,PROPN,nmod,0,1,1,2,0,0,1,0,0.4,False,False,1,0,0
pursišn,NOUN,obj,0,0,0,1,1,paččēn,NOUN,nmod,2,1,2,2,2,0,0,0,0.42857142857142855,True,False,1,0,0
ayādīh,NOUN,orphan,0,0,0,1,1,ōš,NOUN,nmod,0,2,1,2,0,0,0,0,0.0,False,False,1,0,0
dastwarīh,NOUN,conj,0,1,0,1,1,pēšēnīgān,NOUN,nmod,0,2,1,3,0,0,0,0,0.0,False,False,1,0,0
sahišn,NOUN,obl,0,0,0,1,1,xrad,NOUN,nmod,0,2,1,2,0,0,0,0,0.5,True,False,1,0,0
āgāhīhā,NOUN,nsubj,0,1,0,0,1,amāh,PRON,nmod,0,2,2,2,1,1,0,1,1.0,False,False,1,0,0
dastwarān,NOUN,advcl,1,1,0,1,1,pēšēnīgān,NOUN,nmod,0,2,5,6,0,1,0,0,0.0,False,False,1,0,0
dastwar,NOUN,conj,0,1,0,1,1,amāh,PRON,nmod,0,1,2,2,1,0,0,1,0.0,False,False,1,0,0
dastwarān,NOUN,conj,1,1,0,1,1,=mān,PRON,nmod,0,1,2,1,1,0,0,1,0.0,False,False,1,0,0
gōwišn,NOUN,dislocated:topic,0,0,0,1,1,dastwar,NOUN,nmod,1,1,3,5,2,0,0,1,0.0,True,False,1,0,0
sahišn,NOUN,obl,0,0,0,1,1,šnāyišn,NOUN,nmod,1,1,3,2,2,0,0,0,0.6666666666666666,True,True,1,0,0
šnāyišn,NOUN,nmod,0,0,0,1,1,drust,ADJ,amod,0,1,2,2,1,0,0,1,0.0,True,False,0,1,0
mard,NOUN,obl,0,0,0,1,1,dēnāgāh,ADJ,amod,0,1,2,4,1,0,0,1,0.8333333333333334,False,False,0,1,0
mādayān,NOUN,dislocated:topic,0,0,0,1,1,pēšēnīg,ADJ,amod,2,1,2,3,0,0,0,0,0.0,False,False,0,1,0
gōwišn,NOUN,conj,0,1,0,1,1,dastwarān,NOUN,nmod,0,2,1,2,0,0,0,0,0.0,True,False,1,0,0
abowandagīh,NOUN,obl,0,0,0,1,1,wizīr,NOUN,nmod,1,1,2,2,2,0,0,1,0.42857142857142855,False,False,1,0,0
wizīr,NOUN,nmod,0,0,0,1,1,dēn,NOUN,nmod,0,2,1,2,0,0,0,0,0.0,False,False,1,0,0
madārīh,NOUN,obl,0,0,0,1,1,abowandag,ADJ,amod,0,2,4,5,0,0,0,0,0.5714285714285714,False,True,2,1,0
madārīh,NOUN,obl,0,1,0,1,1,amāh,PRON,nmod,0,1,4,5,1,0,0,1,0.5714285714285714,False,False,2,1,0
madārīh,NOUN,obl,0,0,0,1,1,šnāyišn,NOUN,nmod,2,1,4,5,2,0,0,0,0.5714285714285714,False,True,2,1,0
šnāyišn,NOUN,nmod,0,0,0,1,1,nigēzag,NOUN,nmod,2,1,3,2,2,0,0,1,0.0,True,False,1,0,0
nigēzag,NOUN,nmod,0,0,0,1,1,dēn,NOUN,nmod,0,2,2,2,1,0,0,0,0.0,False,False,1,0,0
ōšīh,NOUN,obl,0,0,0,1,0,āgāhīhā,NOUN,nmod,4,1,4,2,2,0,0,1,0.7142857142857143,False,False,1,0,0
menišnīh,NOUN,obl,0,0,0,1,1,awištāftag,ADJ,amod,0,2,2,3,0,0,0,0,1.0,True,True,1,1,0
menišnīh,NOUN,obl,0,0,0,1,1,āwām,NOUN,nmod,1,1,2,3,3,0,0,1,1.0,True,False,1,1,0
āwām,NOUN,nmod,0,0,0,1,1,sezdēnīh,NOUN,nmod,0,1,1,3,0,0,0,0,0.0,False,False,1,0,0
dānišn,NOUN,obl,0,0,0,1,1,čihrag,ADJ,amod,0,2,4,4,0,0,0,0,0.25,True,False,0,1,0
baxšišnīh,NOUN,conj,0,0,0,1,1,menišn,NOUN,nmod,1,1,3,1,3,0,0,1,0.0,True,True,1,0,0
menišn,NOUN,nmod,0,0,0,1,1,weh,ADJ,amod,0,2,2,3,0,0,0,0,0.0,True,False,1,1,0
menišn,NOUN,nmod,0,0,0,1,1,mānsr,NOUN,nmod,0,1,2,3,1,0,0,0,0.0,True,False,1,1,0
mānsr,NOUN,nmod,0,0,0,1,1,wizārišnīg,ADJ,amod,0,1,1,1,0,0,0,0,0.0,False,False,0,1,0
nigēzišn,NOUN,conj,0,0,0,1,1,dēn,NOUN,nmod,0,1,2,2,1,0,0,1,0.0,True,False,1,0,0
nimāyišn,NOUN,nsubj,0,0,0,1,1,rōšntar,ADJ,amod,0,2,2,2,0,0,0,0,0.5,True,False,1,1,0
nimāyišn,NOUN,nsubj,0,0,0,1,1,warzišn,NOUN,nmod,2,1,2,2,3,0,0,1,0.5,True,True,1,1,0
warzišn,NOUN,nmod,0,0,0,1,1,dēnīg,ADJ,amod,0,2,1,3,0,0,0,0,0.0,True,False,0,1,0
nimūdārīh,NOUN,nmod,0,0,0,1,1,mādayān,ADJ,amod,0,2,2,4,0,0,0,0,0.0,False,False,1,1,0
nimūdārīh,NOUN,nmod,0,0,0,1,1,āsnxrad,NOUN,nmod,0,1,2,4,1,0,0,1,0.0,False,False,1,1,0
pēšēnīgān,NOUN,nmod,1,0,0,1,1,hufraward,ADJ,amod,1,2,2,5,0,0,0,0,0.0,False,False,1,2,0
pēšēnīgān,NOUN,nmod,1,0,0,1,1,pēšēnīg,ADJ,amod,0,2,2,5,0,0,0,0,0.0,False,False,1,2,0
pēšēnīgān,NOUN,nmod,1,1,0,1,1,pēšōbāyān,NOUN,nmod,0,1,2,5,1,0,0,1,0.0,False,False,1,2,0
pēšēnīgān,NOUN,nmod,1,1,0,1,1,pōryōtkēšān,NOUN,appos,2,1,2,5,2,0,0,1,0.0,False,False,1,2,0
pōryōtkēšān,NOUN,appos,1,0,0,1,1,meh,ADJ,amod,0,2,1,2,0,0,0,0,0.0,False,False,0,1,0
nibēgān,NOUN,nsubj,1,1,0,1,1,awēšān,PRON,nmod,0,2,2,3,1,1,0,1,0.25,False,False,2,0,0
nibēgān,NOUN,nsubj,1,0,0,1,1,čimnimāyišnīh,NOUN,nmod,1,1,2,3,2,1,0,1,0.25,False,True,2,0,0
zofrīh,NOUN,obl,0,0,0,1,1,bārīksaxwanīh,NOUN,nmod,0,1,1,2,0,0,0,0,0.375,False,False,1,0,0
padēxīh,NOUN,obl,0,0,0,1,1,saxwan,NOUN,nmod,0,1,2,4,1,0,0,1,0.625,False,False,1,0,0
gumān,NOUN,nsubj,0,0,0,1,1,škeft,ADJ,amod,0,2,2,2,0,0,0,0,0.75,False,False,1,1,0
gumān,NOUN,nsubj,0,0,0,1,1,kamāgāhdān,ADJ,nmod,0,1,2,2,1,0,0,1,0.75,False,False,1,1,0
čim,NOUN,obl,0,0,0,1,0,pursišnīhā,NOUN,nmod,1,1,2,2,2,0,0,1,0.875,False,False,1,0,0
rāh,NOUN,nsubj,0,0,0,1,1,nazdīktar,ADJ,amod,0,2,2,2,0,0,0,0,0.5,False,False,1,1,0
rāh,NOUN,nsubj,0,0,0,1,1,wēzišn,NOUN,nmod,2,1,2,2,2,0,0,0,0.5,False,True,1,1,0
wēzišn,NOUN,nmod,0,0,0,1,1,rāst,ADJ,amod,0,2,1,2,0,0,0,0,0.0,True,False,0,1,0
wizīr,NOUN,obl,0,0,0,1,0,pēšōbāy,NOUN,nmod,1,1,3,2,3,0,0,1,1.0,False,False,1,0,0
